前瞻,格,半边,事件数,占比,ge100,对照,lift,率差,lift差,p置换,零校验差,副口径占比
6个月,legacy|状态,有新高,11758,0.6189398326051482,0.061660146283381526,0.055672085299772765,1.1075594878719803,0.019250973745738205,0.20217601119642836,0.751,0.0001205843489283237,0.6190451123861662
6个月,legacy|状态,无新高,7239,0.3810601673948518,0.04240917253764332,0.04684111609079081,0.905383476675552,,,,9.948385440845114e-05,
6个月,legacy|突破,有新高,7519,0.6456848432803779,0.08431972336746908,0.06074256074256074,1.3881489739102888,0.029302757783368258,0.19047195388717086,0.4245,0.00023457189083365276,0.6457707170459425
6个月,legacy|突破,无新高,4126,0.35431515671962216,0.055016965584100824,0.045936395759717315,1.197677020023118,,,,0.00015903130409433003,
6个月,adaptive|状态,有新高,6572,0.6375012125327384,0.06284236153377967,0.062046672973825295,1.0128240326486166,0.018421703251735255,0.2085169864960662,0.676,0.0005376925530627893,0.6376952177708798
6个月,adaptive|状态,无新高,3737,0.3624987874672616,0.04442065828204442,0.05522848331931595,0.8043070461525504,,,,0.0007281929324532838,
6个月,adaptive|突破,有新高,4230,0.6539888682745826,0.07919621749408984,0.06629158512720157,1.1946647126045729,0.024236431971301632,0.14383361340886225,0.495,0.00043013838877838106,0.654143475572047
6个月,adaptive|突破,无新高,2238,0.3460111317254174,0.054959785522788206,0.05230125523012552,1.0508310991957106,,,,4.9923524694302224e-05,
12个月,legacy|状态,有新高,10408,0.5953211691357319,0.16986933128362797,0.1613829998018625,1.0525850398876246,0.04690113340376931,0.08573147937474301,0.8875,7.63278932803535e-05,0.595435565978379
12个月,legacy|状态,无新高,7075,0.40467883086426815,0.12296819787985866,0.12718389102753924,0.9668535605128816,,,,0.00033459224327447856,
12个月,legacy|突破,有新高,6446,0.6197481011441207,0.1984176233322991,0.18140390150303806,1.0937891726048465,0.05277919096820302,0.023516041743117277,0.65,0.000339851689927978,0.6198442457456014
12个月,legacy|突破,无新高,3955,0.38025189885587923,0.14563843236409607,0.1360759493670886,1.0702731308617293,,,,0.00016090131302592958,
12个月,adaptive|状态,有新高,5991,0.6190968275291929,0.1740944750459022,0.1722492190211732,1.0107127105435652,0.036546998106130074,0.08424349805268616,0.8625,5.760767165585712e-05,0.6193035031518033
12个月,adaptive|状态,无新高,3686,0.38090317247080707,0.13754747693977212,0.14846416382252559,0.926469212490879,,,,0.0005824351297867014,
12个月,adaptive|突破,有新高,3621,0.6275563258232235,0.18751726042529687,0.18798505317620007,0.997511542843437,0.03768012687480826,0.02286116624688328,0.825,0.00019781129891935367,0.6277296360485268
12个月,adaptive|突破,无新高,2149,0.37244367417677643,0.1498371335504886,0.15373423860329777,0.9746503765965537,,,,0.0004965600470325238,
