前瞻,档,n,obs,ctlA,liftA,pA,gap0,hits,rho
6个月,0,2394,0.054720133667502086,0.05584415584415584,0.9798721610227118,0.57,0.00033450320070980283,,
6个月,1–5,9661,0.061691336300590004,0.061383809218265424,1.0050099054822599,0.45,0.000158550102085403,,
6个月,6–15,6810,0.09823788546255506,0.08978280819822576,1.0941725641468227,0.0,7.9862884566545e-05,,
6个月,16+,1498,0.11682242990654206,0.11479591836734694,1.0176531671858775,0.34,0.0003278525821772543,,
12个月,0,2234,0.15532676812891674,0.15783356578335656,0.9841174616945507,0.62,0.0013432215175223639,,
12个月,1–5,8735,0.16107613050944478,0.15976506881822494,1.0082061848745643,0.35,0.0002225379320160148,,
12个月,6–15,5992,0.21111481975967958,0.1960167714884696,1.0770242676509856,0.0,0.000273616140875399,,
12个月,16+,1332,0.21996996996996998,0.2333965844402277,0.9424729607656437,0.905,0.00023025538290555314,,
24个月,0,1756,0.0888382687927107,0.09145248057381948,0.9714145339229086,0.65,0.0013124523624328949,,
24个月,1–5,6923,0.08666762964032934,0.08744902582691437,0.9910645524155794,0.615,0.0010122229467197374,,
24个月,6–15,5182,0.10150521034349672,0.09595446228908315,1.0578477323721618,0.095,0.0001725531674542924,,
24个月,16+,1238,0.08966074313408724,0.09831181727904667,0.9120037205659177,0.82,0.00031470489368001786,"[0.0888382687927107, 0.08666762964032934, 0.10150521034349672, 0.08966074313408724]",0.6000000000000001
