代码,名称,规则,买入日,买入价,卖出日,卖出价,净收益,持有交易日,吃到高点比例
301004,嘉益股份,A 不止损,2022-05-06,12.59,2026-08-03,38.0,2.0122684670373316,1030,0.34642126789366057
301004,嘉益股份,B -10%固定止损,2022-05-06,12.59,2026-08-03,38.0,2.0122684670373316,1030,0.34642126789366057
301004,嘉益股份,**C 10月均线**,2022-05-06,12.59,2023-05-04,18.55,0.46739158061953945,242,0.08125426039536472
301004,嘉益股份,D 日线MA200,2022-05-06,12.59,2022-05-10,13.07,0.03212549642573471,2,0.006543967280163598
301004,嘉益股份,F 10月均线(浮盈>100%才启动),2022-05-06,12.59,2025-05-06,69.22,4.492014297061159,726,0.7720518064076346
301004,嘉益股份,G 10月均线(牛市不止损),2022-05-06,12.59,2023-05-04,18.55,0.46739158061953945,242,0.08125426039536472
301004,嘉益股份,H 10月均线(走完调整创新高才启动),2022-05-06,12.59,2025-05-06,69.22,4.492014297061159,726,0.7720518064076346
301004,嘉益股份,E 高点回撤-25%,2022-05-06,12.59,2022-10-25,16.24,0.2839126290706908,115,0.049761417859577335
301061,匠心家居,A 不止损,2024-05-06,29.97,2026-08-03,36.89,0.22489756423089768,546,0.11453161204899046
301061,匠心家居,B -10%固定止损,2024-05-06,29.97,2024-05-28,26.973,-0.10599999999999998,16,-0.04960278053624626
301061,匠心家居,**C 10月均线**,2024-05-06,29.97,2026-03-02,66.87,1.2252312312312317,441,0.6107249255213507
301061,匠心家居,D 日线MA200,2024-05-06,29.97,2024-07-17,23.34,-0.22722122122122124,51,-0.10973187686196624
301061,匠心家居,F 10月均线(浮盈>100%才启动),2024-05-06,29.97,2026-03-02,66.87,1.2252312312312317,441,0.6107249255213507
301061,匠心家居,G 10月均线(牛市不止损),2024-05-06,29.97,2026-03-02,66.87,1.2252312312312317,441,0.6107249255213507
301061,匠心家居,H 10月均线(走完调整创新高才启动),2024-05-06,29.97,2026-03-02,66.87,1.2252312312312317,441,0.6107249255213507
301061,匠心家居,E 高点回撤-25%,2024-05-06,29.97,2024-07-09,24.43,-0.19085151818485147,45,-0.09169149288315125
605499,东鹏饮料,A 不止损,2024-09-03,135.72,2026-08-03,129.64,-0.050798113763631074,461,-0.05173147281545146
605499,东鹏饮料,B -10%固定止损,2024-09-03,135.72,2026-06-18,122.148,-0.10599999999999998,430,-0.11547689951501743
605499,东鹏饮料,**C 10月均线**,2024-09-03,135.72,2025-12-01,198.62,0.4574541703507222,299,0.5351825065940613
605499,东鹏饮料,D 日线MA200,2024-09-03,135.72,2025-11-04,204.83,0.5032101385204835,280,0.5880200799795798
605499,东鹏饮料,F 10月均线(浮盈>100%才启动),2024-09-03,135.72,2026-08-03,129.64,-0.050798113763631074,461,-0.05173147281545146
605499,东鹏饮料,G 10月均线(牛市不止损),2024-09-03,135.72,2025-12-01,198.62,0.4574541703507222,299,0.5351825065940613
605499,东鹏饮料,H 10月均线(走完调整创新高才启动),2024-09-03,135.72,2026-08-03,129.64,-0.050798113763631074,461,-0.05173147281545146
605499,东鹏饮料,E 高点回撤-25%,2024-09-03,135.72,2026-01-28,186.4,0.3674158561744769,339,0.43120905300774276
688082,盛美上海,A 不止损,2022-11-01,85.45,2026-08-03,247.15,1.8863346986541838,910,0.4473771580345286
688082,盛美上海,B -10%固定止损,2022-11-01,85.45,2022-12-07,76.905,-0.10599999999999998,26,-0.023641544931385566
688082,盛美上海,**C 10月均线**,2022-11-01,85.45,2022-12-01,78.57,-0.08651492100643665,22,-0.01903497122620632
688082,盛美上海,D 日线MA200,2022-11-01,85.45,2022-11-03,88.2,0.026182562902282054,2,0.007608455068614435
688082,盛美上海,F 10月均线(浮盈>100%才启动),2022-11-01,85.45,2026-04-01,145.65,0.6985055588063196,827,0.16655599822930503
688082,盛美上海,G 10月均线(牛市不止损),2022-11-01,85.45,2022-12-01,78.57,-0.08651492100643665,22,-0.01903497122620632
688082,盛美上海,H 10月均线(走完调整创新高才启动),2022-11-01,85.45,2026-04-01,145.65,0.6985055588063196,827,0.16655599822930503
688082,盛美上海,E 高点回撤-25%,2022-11-01,85.45,2024-01-10,94.63,0.10143124634289058,292,0.025398406374501994
300347,泰格医药,A 不止损,2014-08-11,9.49,2026-07-31,49.99,4.261650158061117,2848,0.21537970644543714
300347,泰格医药,B -10%固定止损,2014-08-11,9.49,2026-07-31,49.99,4.261650158061117,2848,0.21537970644543714
300347,泰格医药,**C 10月均线**,2014-08-11,9.49,2015-01-22,10.47,0.09726659641728141,82,0.005211657094235273
300347,泰格医药,D 日线MA200,2014-08-11,9.49,2014-08-14,9.47,-0.008107481559536328,3,-0.00010636034886194297
300347,泰格医药,F 10月均线(浮盈>100%才启动),2014-08-11,9.49,2015-09-01,17.67,0.8559599578503689,232,0.04350138268453521
300347,泰格医药,G 10月均线(牛市不止损),2014-08-11,9.49,2015-01-22,10.47,0.09726659641728141,82,0.005211657094235273
300347,泰格医药,H 10月均线(走完调整创新高才启动),2014-08-11,9.49,2015-09-01,17.67,0.8559599578503689,232,0.04350138268453521
300347,泰格医药,E 高点回撤-25%,2014-08-11,9.49,2014-12-10,9.29,-0.027074815595363615,81,-0.0010636034886194465
300308,中际旭创,A 不止损,2015-08-27,5.19,2026-08-03,902.5,172.8861001926782,2509,0.6515750032676416
300308,中际旭创,B -10%固定止损,2015-08-27,5.19,2015-09-02,4.55,-0.12931406551059743,4,-0.00046473125462915947
300308,中际旭创,**C 10月均线**,2015-08-27,5.19,2015-09-01,5.33,0.020974951830443185,3,0.00010165996195012863
300308,中际旭创,D 日线MA200,2015-08-27,5.19,2015-08-31,5.68,0.08841233140655103,2,0.00035580986682544975
300308,中际旭创,F 10月均线(浮盈>100%才启动),2015-08-27,5.19,2016-02-01,7.0,0.34274759152215784,104,0.0013143180794980896
300308,中际旭创,G 10月均线(牛市不止损),2015-08-27,5.19,2015-09-01,5.33,0.020974951830443185,3,0.00010165996195012863
300308,中际旭创,H 10月均线(走完调整创新高才启动),2015-08-27,5.19,2018-07-02,30.36,4.843710982658958,547,0.01827700887346239
300308,中际旭创,E 高点回撤-25%,2015-08-27,5.19,2016-01-08,8.66,0.6625934489402696,88,0.002519714771192471
300502,新易盛,A 不止损,2019-11-01,6.94,2026-08-03,394.08,55.777861671469736,1637,0.6414381575677243
300502,新易盛,B -10%固定止损,2019-11-01,6.94,2026-08-03,394.08,55.777861671469736,1637,0.6414381575677243
300502,新易盛,**C 10月均线**,2019-11-01,6.94,2020-12-01,14.5,1.0833371757925072,263,0.012525888493082594
300502,新易盛,D 日线MA200,2019-11-01,6.94,2020-12-01,14.5,1.0833371757925072,263,0.012525888493082594
300502,新易盛,F 10月均线(浮盈>100%才启动),2019-11-01,6.94,2020-12-01,14.5,1.0833371757925072,263,0.012525888493082594
300502,新易盛,G 10月均线(牛市不止损),2019-11-01,6.94,2021-02-01,14.08,1.0228184438040346,306,0.011830005799022452
300502,新易盛,H 10月均线(走完调整创新高才启动),2019-11-01,6.94,2023-11-01,15.93,1.2893890489913542,970,0.014895203380001653
300502,新易盛,E 高点回撤-25%,2019-11-01,6.94,2020-03-17,10.68,0.5329048991354466,90,0.006196669704249854
