段,组,n,持有,事件收益,对照中位,超额pp,年化超额pp,p
训练段13-21,确认成立,8871,5,0.011607458063483773,0.009967888337672856,0.1639569725810917,13.872309887266688,0.004975124378109453
训练段13-21,确认成立,8871,20,0.03505066511131065,0.03190100322698326,0.3149661884327387,5.749737144357314,0.004975124378109453
训练段13-21,确认成立,8871,60,0.08088644035538047,0.0736009776680807,0.7285462687299765,3.842192642186326,0.004975124378109453
训练段13-21,确认成立,8871,120,0.08492558866071741,0.07503366389449212,0.9891924766225288,2.2399581131530066,0.004975124378109453
训练段13-21,确认成立,8871,250,0.18124822613282407,0.1636793735254607,1.7568852607363379,1.7568852607363405,0.004975124378109453
训练段13-21,确认失败,6376,5,0.005179198963650538,0.004540954728786531,0.06382442348640072,4.047138658125582,0.1044776119402985
训练段13-21,确认失败,6376,20,0.017715189630355784,0.015579696882925789,0.21354927474299956,3.2275801936458626,0.03482587064676617
训练段13-21,确认失败,6376,60,0.0417308534892503,0.039091017115310864,0.2639836373939435,1.2469492421966155,0.1044776119402985
训练段13-21,确认失败,6376,120,0.0815934426770929,0.08016519961598628,0.14282430611066155,0.3237075761097774,0.2935323383084577
训练段13-21,确认失败,6376,250,0.17209655469114865,0.17047731716419126,0.161923752695739,0.16192375269572512,0.3482587064676617
留出段22-26,确认成立,6138,5,0.0032889088654246947,0.005404612007236381,-0.21157031418116864,-13.089228607068183,1.0
留出段22-26,确认成立,6138,20,0.008434177595261876,0.009316304914724478,-0.08821273194626021,-1.220601203565863,0.7761194029850746
留出段22-26,确认成立,6138,60,0.00869467271885261,0.004945097703496725,0.3749575015355885,1.5963195943970332,0.01990049751243781
留出段22-26,确认成立,6138,120,0.06336674635798246,0.0522095315040793,1.1157214853903161,2.470282706506932,0.009950248756218905
留出段22-26,确认成立,6138,250,0.09832762005587428,0.08629133760727328,1.2036282448601,1.2036282448600888,0.01990049751243781
留出段22-26,确认失败,5254,5,0.0046855064123886014,0.0058307295672825,-0.11452231548938988,-7.404866260220899,0.9701492537313433
留出段22-26,确认失败,5254,20,0.010456917511669363,0.013007683522622819,-0.25507660109534563,-3.6462723254126583,0.9800995024875622
留出段22-26,确认失败,5254,60,0.022173882616460663,0.025147778577908366,-0.29738959614477034,-1.3343707561270124,0.9303482587064676
留出段22-26,确认失败,5254,120,0.05614021262380363,0.06556454428398281,-0.9424331660179184,-2.0931594860267744,0.9950248756218906
留出段22-26,确认失败,5254,250,0.1485123448764084,0.15494119147087695,-0.6428846594468546,-0.6428846594468407,0.8507462686567164
