部分,项,均线,指数站上,指数站下,差,全样本,分位5,中位,分位95,r中位,r均值,r2中位,样本股数,信号,指数态,门槛,月数,信号命中,随机,lift,lift下界,lift上界,p,日期,距离,全市场分位,广度,指数站上20日
A,条件概率,20日线,0.6374091745335619,0.32617728847802807,0.31123188605553387,0.49584518975357394,,,,,,,,,,,,,,,,,,,,,,
A,条件概率,60日线,0.5781303232234837,0.3577408116072156,0.22038951161626807,0.4784173415935168,,,,,,,,,,,,,,,,,,,,,,
A,条件概率,20周线(MA100),0.5511123364441172,0.37563483942574527,0.1754774970183719,0.47154936875286035,,,,,,,,,,,,,,,,,,,,,,
A,条件概率,60周线(MA300),0.5488909540852255,0.4134587768058824,0.1354321772793431,0.4882220367783016,,,,,,,,,,,,,,,,,,,,,,
A,广度分布,20日线,,,,,0.12228169036196732,0.4820241565993424,0.9210829683963254,,,,,,,,,,,,,,,,,,,
A,广度分布,60日线,,,,,0.11216258144585792,0.4493332359733112,0.9580056076371846,,,,,,,,,,,,,,,,,,,
A,广度分布,20周线(MA100),,,,,0.11281864674560742,0.4298881740062257,0.9633427336560174,,,,,,,,,,,,,,,,,,,
A,广度分布,60周线(MA300),,,,,0.1068261399461186,0.4626960835495459,0.9432374663027413,,,,,,,,,,,,,,,,,,,
A,广度解释力,20日线,,,,,,,,0.4976074351140628,0.48383937706533214,0.24761315949320734,5170.0,,,,,,,,,,,,,,,
A,广度解释力,60日线,,,,,,,,0.5032886445630833,0.48955436394517354,0.2532994599375461,5158.0,,,,,,,,,,,,,,,
A,广度解释力,20周线(MA100),,,,,,,,0.4985657377921754,0.4825382452510668,0.24856779610446245,5132.0,,,,,,,,,,,,,,,
A,广度解释力,60周线(MA300),,,,,,,,0.5276089453697898,0.4945917736928381,0.2784530661944191,5060.0,,,,,,,,,,,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,全部,≥100%,135.0,0.16439202660953614,0.16187897996532172,1.015524230784953,1.0062237081125176,1.0243691339890855,0.0,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,全部,≥200%,135.0,0.04640113387606138,0.045782760924841084,1.013506676721298,0.9898924743119444,1.029990922435224,0.145,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,全部,≥500%,135.0,0.0034079410600313096,0.0033379890223938845,1.0209563414283664,0.9480889904297825,1.0983976070487729,0.28,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,站上,≥100%,62.0,0.19280872142877611,0.1881095274253492,1.0249811589436466,1.0167084551829142,1.0327060402621095,0.0,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,站上,≥200%,62.0,0.05944538560922669,0.0583583103408831,1.0186276001137413,1.0022046697410598,1.0355940349928112,0.025,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,站上,≥500%,62.0,0.004339935127386109,0.004334463651134657,1.0012623190991623,0.9243924654932626,1.0631132086735484,0.405,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,站下,≥100%,73.0,0.1402572995027844,0.1396009807526956,1.0047013906818567,0.9867330626391453,1.0237679729036553,0.33,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,站下,≥200%,73.0,0.035322454321866176,0.03510215731121635,1.0062758823822897,0.9661355621699984,1.0420384695759453,0.355,,,,,
B,lift,,,,,,,,,,,,,UP_20 站上20日线,站下,≥500%,73.0,0.0026163844548806586,0.0024916681048332283,1.050053355744094,0.887288486310722,1.2315824068204302,0.29,,,,,
B,lift,,,,,,,,,,,,,UP_60 站上60日线,全部,≥100%,135.0,0.1667690393886891,0.16184542084683484,1.030421735234102,1.0184689624833967,1.0413277365306488,0.0,,,,,
