段,组,组号,n,持有,事件收益,对照中位,超额pp,年化超额pp,p
训练段13-21,G0 正式突破(三条全过),0,7430,5,0.008664686718253501,0.010401673310035466,-0.1736986591781965,-13.829348761690841,1.0
训练段13-21,G0 正式突破(三条全过),0,7430,20,0.03329370323386954,0.032135627843320344,0.11580753905491986,2.0961557795207586,0.11442786069651742
训练段13-21,G0 正式突破(三条全过),0,7430,60,0.06042069239655854,0.05638505850249667,0.40356338940618697,2.0126296168253344,0.014925373134328358
训练段13-21,G0 正式突破(三条全过),0,7430,120,0.10173125034354016,0.09783286425271319,0.38983860908269746,0.900310844018537,0.07462686567164178
训练段13-21,G0 正式突破(三条全过),0,7430,250,0.1859129745457425,0.19473811978074163,-0.8825145234999138,-0.8825145234999221,0.9701492537313433
训练段13-21,G1 仅缩量比不过,1,2035,5,0.008415614339346499,0.007987397647333085,0.042821669201341395,3.1949276209241484,0.31343283582089554
训练段13-21,G1 仅缩量比不过,1,2035,20,0.026548705492566008,0.027016595794316735,-0.046789030175072716,-0.7926062847146031,0.6119402985074627
训练段13-21,G1 仅缩量比不过,1,2035,60,0.03821287031326439,0.04449356650283397,-0.6280696189569578,-2.9752828723452307,0.9850746268656716
训练段13-21,G1 仅缩量比不过,1,2035,120,0.07759745074456752,0.08410993493144084,-0.6512484186873322,-1.475999884995538,0.9104477611940298
训练段13-21,G1 仅缩量比不过,1,2035,250,0.12541913514666905,0.13890854640155956,-1.3489411254890504,-1.3489411254890449,0.9651741293532339
训练段13-21,G2 仅收敛比不过,2,3481,5,0.009450316291425462,0.008516542164437087,0.09337741269883748,7.2371228920203645,0.08955223880597014
训练段13-21,G2 仅收敛比不过,2,3481,20,0.03843337610250986,0.029759850527151285,0.8673525575358575,15.94821976413925,0.004975124378109453
训练段13-21,G2 仅收敛比不过,2,3481,60,0.08561967384775351,0.07466520672114166,1.0954467126611855,5.826611309839436,0.004975124378109453
训练段13-21,G2 仅收敛比不过,2,3481,120,0.07708548401818477,0.07257166553231137,0.45138184858734,1.0168424921970676,0.15422885572139303
训练段13-21,G2 仅收敛比不过,2,3481,250,0.16589549157695718,0.17968653177207033,-1.3791040195113151,-1.3791040195113125,0.9900497512437811
训练段13-21,G3 仅深度不过,3,890,5,0.0019171456737226056,0.008136689071721579,-0.6219543397998973,-39.908376483502785,1.0
训练段13-21,G3 仅深度不过,3,890,20,0.03377159485320296,0.04253787028830368,-0.8766275435100717,-16.86145007257498,0.9900497512437811
训练段13-21,G3 仅深度不过,3,890,60,0.0979082542636164,0.10033746808031499,-0.24292138166985833,-1.3653213160794708,0.6069651741293532
训练段13-21,G3 仅深度不过,3,890,120,0.15793658992727952,0.1589125329197435,-0.09759429924639795,-0.2384367996410397,0.5671641791044776
训练段13-21,G3 仅深度不过,3,890,250,0.13710939386286494,0.18147498190390676,-4.436558804104182,-4.436558804104185,1.0
训练段13-21,G4 差两条及以上,4,13231,5,0.015224175398777441,0.01340847606910795,0.18156993296694918,18.2241665108684,0.004975124378109453
训练段13-21,G4 差两条及以上,4,13231,20,0.030533276752489548,0.033126563596399775,-0.25932868439102263,-4.648017106672575,1.0
训练段13-21,G4 差两条及以上,4,13231,60,0.04874918905884539,0.045570656713491656,0.3178532345353736,1.5324668082725257,0.03482587064676617
训练段13-21,G4 差两条及以上,4,13231,120,0.0580539691109428,0.049449131881776104,0.8604837229166696,1.8972938980814646,0.004975124378109453
训练段13-21,G4 差两条及以上,4,13231,250,0.07619295615910078,0.0676025357236971,0.8590420435403687,0.8590420435403701,0.004975124378109453
