年,n,ge100,对照A,lift
2013,645,0.05736434108527132,0.021739130434782608,2.6387596899224808
2014,1937,0.2364481156427465,0.17862068965517242,1.323744276764411
2015,2527,0.17016224772457458,0.19919028340080971,0.8542698208936976
2016,478,0.006276150627615063,0.011976047904191617,0.5240585774058577
2017,958,0.013569937369519834,0.009191176470588236,1.4764091858037578
2018,591,0.005076142131979695,0.008547008547008548,0.5939086294416243
2019,880,0.026136363636363635,0.032692307692307694,0.7994652406417111
2020,1630,0.06012269938650307,0.054978354978354974,1.093570358919859
2021,1890,0.051322751322751325,0.04962779156327544,1.034153439153439
2022,1345,0.011895910780669145,0.025806451612903226,0.46096654275092935
2023,2205,0.011337868480725623,0.012409513960703205,0.9136432350718066
2024,2941,0.019041142468548114,0.04131175468483816,0.46091342800155644
2025,4048,0.05014822134387352,0.08258527827648116,0.6072295497508162
2026,390,0.08717948717948718,0.07941176470588235,1.0978157644824311
