年,n,ge100,对照A,lift
2014,843,0.17556346381969157,0.16370106761565836,1.072463768115942
2015,1634,0.13402692778457773,0.10771113831089352,1.2443181818181819
2016,1815,0.011570247933884297,0.011570247933884297,1.0
2017,1912,0.009414225941422594,0.006276150627615063,1.5
2018,2231,0.023756163155535633,0.02823845809054236,0.8412698412698412
2019,2447,0.04004903964037597,0.031875766244380876,1.2564102564102564
2020,2510,0.07729083665338646,0.07290836653386454,1.0601092896174864
2021,2745,0.07577413479052823,0.06958105646630237,1.089005235602094
2022,3115,0.04173354735152488,0.040770465489566615,1.0236220472440944
2023,3423,0.013438504236050247,0.013146362839614373,1.0222222222222221
2024,3663,0.06606606606606606,0.07302757302757304,0.9046728971962614
2025,3806,0.10641093011035208,0.08775617446137678,1.2125748502994012
