n,事件收益,对照中位,超额pp,年化超额pp,p,轴,段,组,持有,组序
25603,0.001407309356257596,0.0029339655541767303,-0.15266561979191343,-8.490867188524698,1.0,S1 是否同时创52周新高,训练段13-21,未创52周新高,5,0
25603,0.008664989176263169,0.011550093094174199,-0.288510391791103,-4.0487117067196765,1.0,S1 是否同时创52周新高,训练段13-21,未创52周新高,20,0
25603,0.015231624374604315,0.019935539921780467,-0.4703915547176151,-2.071204034188967,1.0,S1 是否同时创52周新高,训练段13-21,未创52周新高,60,0
25603,0.046678264717148935,0.047973767318952094,-0.12955026018031598,-0.28376082449939055,0.8407960199004975,S1 是否同时创52周新高,训练段13-21,未创52周新高,120,0
25603,0.10740434649872846,0.10230219163266241,0.510215486606605,0.5102154866065911,0.004975124378109453,S1 是否同时创52周新高,训练段13-21,未创52周新高,250,0
28427,0.014085403135774374,0.011874465581666778,0.22109375541075962,20.806091440601527,0.004975124378109453,S1 是否同时创52周新高,训练段13-21,同时创52周新高,5,1
28427,0.034395361302893765,0.03172304389353081,0.26723174093629537,4.8557084131023,0.004975124378109453,S1 是否同时创52周新高,训练段13-21,同时创52周新高,20,1
28427,0.06572485551383846,0.06342249046180018,0.2302365052038277,1.1695531847045304,0.014925373134328358,S1 是否同时创52周新高,训练段13-21,同时创52周新高,60,1
28427,0.10369206232707337,0.09890863295409562,0.47834293729777516,1.1063590272618606,0.004975124378109453,S1 是否同时创52周新高,训练段13-21,同时创52周新高,120,1
28427,0.14447582868287318,0.14293738959251745,0.15384390903557255,0.153843909035567,0.2835820895522388,S1 是否同时创52周新高,训练段13-21,同时创52周新高,250,1
21335,-1.5960217445138294e-05,0.0007179635828838166,-0.07339238003289549,-3.733464625587024,0.9850746268656716,S1 是否同时创52周新高,留出段22-26,未创52周新高,5,0
21335,0.006006882029753212,0.008541904154150124,-0.25350221243969123,-3.4443337838333976,1.0,S1 是否同时创52周新高,留出段22-26,未创52周新高,20,0
21335,0.014492366610737372,0.01973424648597301,-0.5241879875235637,-2.304705037635557,1.0,S1 是否同时创52周新高,留出段22-26,未创52周新高,60,0
21335,0.05546894788073414,0.05970033176706535,-0.4231383886331208,-0.9366613766935483,1.0,S1 是否同时创52周新高,留出段22-26,未创52周新高,120,0
21335,0.14425842492105379,0.14940702428123326,-0.5148599360179473,-0.514859936017964,0.9601990049751243,S1 是否同时创52周新高,留出段22-26,未创52周新高,250,0
15559,-0.0006406797520476145,0.0004162327497546438,-0.10569125018022583,-5.2561565732556765,1.0,S1 是否同时创52周新高,留出段22-26,同时创52周新高,5,1
15559,-0.0035188992848960788,0.00222433428300811,-0.5743233567904189,-7.126968328926708,1.0,S1 是否同时创52周新高,留出段22-26,同时创52周新高,20,1
15559,0.007083209988694356,0.01730756137780978,-1.0224351389115423,-4.426980863498042,1.0,S1 是否同时创52周新高,留出段22-26,同时创52周新高,60,1
15559,0.05094713665467936,0.06294760859040738,-1.2000471935728014,-2.654697918671123,1.0,S1 是否同时创52周新高,留出段22-26,同时创52周新高,120,1
15559,0.12847951844022013,0.1344909497121788,-0.6011431271958662,-0.6011431271958578,0.945273631840796,S1 是否同时创52周新高,留出段22-26,同时创52周新高,250,1
