段,广度分位,事件,P2事件涨,对照涨,P3跑赢对照,事件均值,对照均值
训练段13-21,Q1,11069,0.46092691300027105,0.49863086096305,0.45800930526696176,0.02670777771281968,0.03551591993764805
训练段13-21,Q2,10690,0.4614593077642657,0.4940809167446211,0.463811506080449,0.03446228086786981,0.042611303751618215
训练段13-21,Q3,10809,0.4602645943195485,0.46316819317235636,0.491649088722361,0.04197642445535292,0.0411130850525695
训练段13-21,Q4,10823,0.4873879700637531,0.4927418460685577,0.4927663309618405,0.07127280202058628,0.06626882347284632
训练段13-21,Q5,10639,0.4304915875552214,0.42603346179152174,0.507141648651189,0.03470221490435524,0.028490881483542427
训练段13-21,全段,54030,0.460207292245049,0.4751613918193596,0.48252406070701465,0.04179781133731039,0.042816469660889735
留出段22-26,Q1,7819,0.4196188770942576,0.48244340708530503,0.4390778871978514,-0.001088950134175202,0.02090719489724833
留出段22-26,Q2,9417,0.3728363597748752,0.40721089518955084,0.465816077306998,-0.029417116266151684,-0.01789485376036763
留出段22-26,Q3,6510,0.423963133640553,0.4440783410138249,0.4727626728110599,0.01448642895155977,0.015065114807792813
留出段22-26,Q4,7034,0.47895934034688653,0.5016079044640318,0.48671666192777935,0.05313226048487319,0.054167712079615085
留出段22-26,Q5,6114,0.4592737978410206,0.4565996074582924,0.5014262348707883,0.038746944407326046,0.03541925643680913
留出段22-26,全段,36894,0.42632948446901936,0.45584214235377024,0.47126118067978534,0.011367764564812087,0.018718502657928054
