段,组,n,样本收益,对照中位,超额pp,年化超额pp,p
训练段13-21,Q1 量比,32790,0.05273710706570096,0.047407170140157405,0.5329936925543552,2.5924354759539137,0.004975124378109453
训练段13-21,Q2 量比,7943,0.04996285800431381,0.04293949788594341,0.7023360118370403,3.378957247430292,0.004975124378109453
训练段13-21,Q3 量比,4527,0.02976473753182911,0.03417410324421421,-0.4409365712385097,-2.029763484916547,0.9800995024875622
训练段13-21,Q4 量比,3054,0.01392433249549069,0.029798352953183428,-1.5874020457692741,-7.083483593200257,1.0
训练段13-21,Q5 量比,2375,0.0028188198254858305,0.02851087771766899,-2.569205789218316,-11.247174275402738,1.0
留出段22-26,Q1 量比,31283,0.04417693821008815,0.03983594231411565,0.4340995895972498,2.0604870929834984,0.004975124378109453
留出段22-26,Q2 量比,7656,0.03127134008643706,0.025711524495220954,0.5559815591216106,2.532143152666455,0.004975124378109453
留出段22-26,Q3 量比,3874,0.019490456072033806,0.026618543215319118,-0.7128087143285312,-3.192374921354202,0.9950248756218906
留出段22-26,Q4 量比,2350,0.015887461102581282,0.02881553419223008,-1.2928073089648797,-5.777542676614056,1.0
留出段22-26,Q5 量比,1789,-0.024394462683298635,0.01576256498287823,-4.015702766617686,-16.512156675666123,1.0
