code,名称,上市日,行业,细分,在面板,收盘,MA100,MA300,多头排列,近60日金叉,站上20周线,RPS50,RPS120,RPS250,量比20/60,距250日新高%,规则选中,随机对照
688120,华海清科,20220608,电子-半导体,半导体设备,True,226.99,191.7647,129.28383333333335,True,False,True,97.97400611620795,98.62227324913893,98.26288361320209,1.204099596453878,-34.01453488372093,True,False
688348,昱能科技,20220608,电力设备-光伏设备,光伏逆变器,True,32.81,44.7871,48.48023333333334,False,False,False,15.424311926605505,6.7546880979716795,17.969503956765102,0.7591430691356393,-51.14651578320428,False,False
301286,侨源股份,20220614,化工-化学制品,其他化学制品,True,36.5,51.0849,40.02213333333333,True,False,False,10.244648318042813,11.691542288557214,84.46245898475198,0.6925067510875903,-44.59623557984214,False,False
301156,美农生物,20220617,化工-化学制品,食品助剂,True,11.0,13.2901,14.091166666666668,False,False,False,21.06269113149847,32.01301186375814,18.683651804670912,1.028457198466705,-31.25,False,False
301238,瑞泰新材,20220617,电力设备-电池,电池化学品,True,16.1,20.609499999999997,20.177066666666665,True,False,False,19.533639143730888,44.27860696517413,40.88013896931094,0.7425345761116023,-39.13043478260869,False,False
001226,拓山重工,20220622,机械设备-工程机械,工程机械零件,True,39.1,46.2641,40.898266666666665,True,False,False,30.33256880733945,36.681974741676235,80.71800810654314,0.6774487827320179,-28.204186558942347,False,False
301220,亚香股份,20220622,化工-化学制品,其他化学制品,True,28.01,36.5081,40.302033333333334,False,False,False,16.59021406727829,38.4424033677765,8.029337965643698,0.7995059839534249,-44.080654821321616,False,False
301289,国缆检测,20220622,社会服务-专业服务,检测服务,True,43.51,50.343199999999996,53.0355,False,False,False,42.2782874617737,33.33333333333333,40.050183362285274,0.6936416883996528,-37.29644040928088,False,False
688349,三一重能,20220622,电力设备-风电设备,风电整机,True,15.6,16.4805,18.857066666666668,False,False,False,72.11391437308869,47.37849215461156,35.842501447596995,0.9306596184146355,-36.352509179926564,False,False
001323,慕思股份,20220623,轻工制造-家居用品,家具,True,17.31,20.445700000000002,24.252466666666667,False,False,False,50.23891437308868,13.260619977037887,7.257286238177958,1.6318500977129922,-39.64435146443515,False,False
301302,华如科技,20220623,国防军工-军工电子,军工电子,True,22.17,25.640500000000003,24.8889,True,False,False,37.34709480122324,74.07194795254497,51.24493341053851,0.6671256101670934,-40.56300268096514,False,False
001316,润贝航科,20220624,商贸-贸易,贸易,True,25.84,34.248799999999996,28.749133333333333,True,False,False,8.161314984709481,25.755836203597397,69.90928392202278,0.8204341766183708,-41.86726659167604,False,False
688047,龙芯中科,20220624,电子-半导体,集成电路设计,True,107.63,142.2757,139.8597,True,False,False,13.53211009174312,11.442786069651742,33.70005790387956,0.7437106625084797,-44.34274485469025,False,False
301112,信邦智能,20220629,机械设备-专用设备,其他专用设备,True,31.1,32.8056,38.07036666666667,False,False,False,49.19724770642202,49.34940681209338,38.795599305153445,1.0792443256878048,-48.806584362139915,False,False
688297,中无人机,20220629,国防军工-航空装备,航空装备,True,41.09,45.7149,48.48203333333333,False,False,False,74.86620795107034,58.840413318025256,20.09264620729589,0.873043708497975,-35.826956114321405,False,False
001268,联合精密,20220630,机械设备-通用设备,机械基础件,True,17.91,24.8114,23.157233333333334,True,False,False,5.2370030581039755,19.517795637198624,47.5583864118896,1.1480811016333017,-42.63292761050609,False,False
601089,福元医药,20220630,医药医疗-化学制药,化学制剂,True,17.3,19.268900000000002,21.346766666666667,False,False,False,73.98700305810397,7.883658629927287,29.781895386990932,1.082231842451153,-44.26546391752577,False,False
001309,德明利,20220701,电子-半导体,集成电路设计,True,349.0,569.1386,300.3066666666667,True,False,False,1.91131498470948,95.36930730960582,99.65257672264042,1.179903133873679,-64.02061855670102,False,False
