月,事件数,事件均值,对照均值
2014-05,24,1.2137091530416997,1.8150415089401537
2014-06,11,1.13662361243258,2.01065792062727
2014-07,50,1.0268439687611228,1.1014810279998886
2014-08,53,0.5977995737344359,0.8412645304246555
2014-09,44,0.420919356051512,0.5171328586880325
2014-11,10,0.5140346205558299,0.4026705034720114
2015-12,21,-0.11126089386292944,-0.14467714158899683
2016-02,12,0.03303594955275054,0.23674295235813783
2016-03,17,0.038680979723556365,0.09843468424197684
2016-04,16,-0.0808289491414606,0.06780003052495165
2016-05,10,-0.156666889654547,-0.09351919016359357
2016-06,114,-0.14467638969048757,0.014052518757695167
2016-07,124,-0.14585579544755378,-0.047505059541445724
2016-08,88,-0.03870957142510414,-0.08294958688653317
2016-09,64,-0.08220939169759355,-0.08604915486172718
2016-10,46,-0.115214814081818,-0.04286047910364688
2016-11,62,-0.2058380979058816,-0.08065356283848249
2016-12,25,-0.22136909105693978,-0.059311470160320144
2017-01,10,-0.3135759047546759,-0.08869364341092442
2017-04,18,-0.29441030981699406,-0.18369132870380303
2017-06,11,-0.15854394683281023,-0.18248625987039044
2017-07,23,-0.26707739633783173,-0.17371993880279502
2017-08,38,-0.2965554512174365,-0.18211257325238603
2017-09,114,-0.3914091629165346,-0.35191750690143087
2017-10,58,-0.38769187222011436,-0.4208525959663269
2017-11,34,-0.3275439191340324,-0.3021858302661956
2017-12,23,-0.3448611595550242,-0.35121853947096837
2018-01,22,-0.3120048579535024,-0.2638468866540688
2018-03,41,-0.1190007182404211,-0.04437105378568352
2018-04,61,-0.0790365434072585,-0.11025633312920274
2018-05,88,-0.18667935767665692,-0.17339006846090543
2018-06,27,-0.13255635385787812,-0.08284767023309254
2018-07,18,-0.11075300916820398,0.014866505006682209
2018-08,13,0.032062996356200094,0.13870158213400452
2018-09,13,-0.14005140821353457,0.01731057846738757
2018-10,13,-0.05409574242826048,0.28264265027510743
2018-11,126,0.007403346705054721,0.07865299753609793
2018-12,89,0.11047764139049042,0.15576589309090833
2019-01,100,0.11258504036973484,0.28316491324157467
2019-02,285,0.21924296777028193,0.21644329035771906
2019-03,418,-0.028430960565002144,-0.02914861467366286
2019-04,189,-0.16970560924691716,-0.022075120914205718
2019-05,65,0.06185930680249154,0.17019104391151169
2019-06,40,0.08567456817750838,0.13123313903869774
2019-07,19,0.1331261271128346,0.28737123001269466
2019-08,23,0.43633279427894955,0.24733273884025572
2019-09,47,0.24354824868772967,0.24905951917321642
2019-10,41,0.09898042393568038,0.3101858166479217
2019-11,38,0.2010774698699322,0.30973066984962566
2019-12,84,0.09876552845685709,0.23827947235612532
2020-01,105,0.3147611658122401,0.22841143014414025
2020-02,74,-0.11019399768257636,0.20561278924791848
2020-03,116,-0.10753110475924793,0.08886216334558092
2020-04,59,0.030896977350364348,0.3958068530272973
2020-05,60,0.14315801679430756,0.14281014913544351
2020-06,83,0.16691185360760935,0.23457675194748334
2020-07,139,0.04092844682844749,0.09759764274275028
2020-08,91,0.12613236268473915,0.056068663073001186
2020-09,102,0.08444811278744474,0.29577280215032764
2020-10,22,0.5710797729962702,-0.052459249237991536
2020-11,41,0.5377311352186851,-0.00934600486651182
2020-12,24,0.4915847530823318,0.24261876445142114
2021-01,15,0.19251544099408538,0.29216787802778693
2021-02,15,0.4379059483906032,0.26884543237707365
2021-03,56,0.22360265522846426,0.16203399089558146
2021-04,60,-0.02657551482830651,-0.04127336031302067
2021-05,103,-0.0795483561098581,0.045615598928084
2021-06,138,-0.00643841096257098,0.0880123648195302
2021-07,139,0.03607886219551249,0.007016955868081997
2021-08,86,0.003407644671650512,0.15150283638450787
2021-09,113,-0.10243868273898936,-0.16202516269442543
2021-10,61,0.02887339457197191,-0.11568590501952997
2021-11,116,-0.004411991667293527,-0.0010357573193631136
2021-12,121,-0.1430951942174317,-0.09582263327181653
2022-01,161,-0.048435753174433806,-0.06459899759021129
2022-02,57,0.012539766645133966,0.06986444750025482
2022-03,58,-0.07646368509221643,0.04985225752051097
2022-04,55,-0.19096855483438985,0.1245608465172585
2022-05,17,-0.1059852342745432,0.07583191840309865
2022-06,61,-0.10178207412154276,0.050237913566611815
2022-07,139,-0.056997673284054945,0.07502951593941729
2022-08,213,-0.14865351857636824,0.0063722958014782345
2022-09,89,-0.09682503186582936,0.01430199169437125
2022-10,91,-0.008315822453963957,0.08392088928898142
2022-11,168,0.0052241382872918385,0.04050091463126931
2022-12,118,-0.07815277257335604,0.034211408998787926
2023-01,44,-0.19949828091491562,-0.17567306605529087
2023-02,266,-0.12050581336721576,-0.17453338526773401
2023-03,172,-0.12188522986185975,-0.1248041121662229
2023-04,87,-0.23837945608420183,-0.15322278063994574
2023-05,48,-0.19158651043020827,-0.15314167491481506
2023-06,24,-0.2121794838690024,-0.2607628492422623
2023-07,64,-0.2920870285690828,-0.2133040572352644
2023-08,48,-0.3957811604326323,-0.20816282309762135
2023-09,41,-0.17026299487977728,-0.160611155630121
2023-10,71,-0.04373699623287985,0.028551742232787766
2023-11,104,-0.08045136677881158,0.04857458859088125
2023-12,52,-0.12451155570660255,0.08818278735191197
2024-01,36,-0.13201172705805994,0.1405579568121763
2024-02,12,0.15018854323789219,0.3711785288070352
2024-03,86,0.09558918336235742,0.1927340718812258
2024-04,85,0.05101094857470414,0.16098324055893487
2024-05,154,0.1129851015771605,0.1271575656092766
2024-06,60,0.2788521259329321,0.32894833987300903
2024-07,83,0.4464155811402035,0.5225070043213257
2024-08,64,0.7473409400065949,0.900156277264041
2024-09,259,0.3378822882499437,0.47396493499659764
2024-10,530,0.3288935879905402,0.3874065811078918
2024-11,344,0.24361239768763818,0.3740257092564177
2024-12,205,0.2148580069266665,0.31067201258411803
2025-01,63,0.4182791086389069,0.5772732649723947
2025-02,65,0.3142056450406303,0.43888480502401667
2025-03,40,0.33680260966781217,0.42526709786770106
2025-04,22,0.4476724911405612,0.41893658675166134
2025-05,27,0.0734259207108359,0.4355984761411728
2025-06,42,0.21100958102170642,0.6776843057810641
