代码,名称,A旧版,B新td绝对阈值,C新版默认,A首次,B首次,C首次,判定
600066,宇通客车,291,326,23,2015-12-09,2015-10-22,2015-10-22,新版更少
300750,宁德时代,87,89,28,2019-01-28,2019-01-23,2019-01-24,新版更少
300476,胜宏科技,512,525,31,2016-02-19,2016-02-18,2016-02-18,新版更少
688183,生益电子,76,77,0,2023-12-06,2023-12-06,,**新版丢了**
601567,三星医疗,495,507,22,2016-06-16,2016-05-27,2024-12-26,新版更少
603259,药明康德,233,354,125,2019-05-17,2018-09-26,2018-09-26,新版更少
603893,瑞芯微,254,255,74,2020-08-26,2020-08-26,2021-10-12,新版更少
300972,万辰集团,91,89,28,2023-09-25,2023-09-25,2024-02-01,新版更少
603119,浙江荣泰,5,5,1,2025-12-22,2025-12-22,2025-12-24,新版更少
300760,迈瑞医疗,237,237,29,2020-11-13,2020-11-13,2023-06-29,新版更少
300059,东方财富,591,646,250,2017-11-06,2017-11-06,2019-04-30,新版更少
002475,立讯精密,225,202,85,2015-10-21,2015-10-20,2015-10-20,新版更少
002709,天赐材料,449,469,77,2016-10-10,2015-03-16,2016-09-01,新版更少
301377,鼎泰高科,0,7,0,,2024-09-19,,新版更多
688498,源杰科技,25,50,28,2023-09-07,2023-09-06,2024-05-30,新版更多
300604,长川科技,377,363,161,2018-01-30,2018-01-31,2020-04-14,新版更少
688347,华虹公司,36,36,35,2024-08-30,2024-08-30,2024-08-30,新版更少
688256,寒武纪,142,145,21,2023-07-19,2023-07-19,2025-05-29,新版更少
688041,海光信息,191,191,112,2023-07-13,2023-07-13,2024-05-13,新版更少
