特征,命中,P(赢|特征),lift,p,早,晚,同向,三条全过
① 强势期涨幅 高50%,2077,0.15117958594126144,0.8362183754993342,0.0,0.8522114637499253,0.8566008929191052,True,False
① 换手分位 高50%,2055,0.15182481751824817,0.8397873395083927,0.0,0.8368697683472843,0.8358948641552849,True,False
② 调整期缩量 <0.8×,802,0.24064837905236908,1.331096360297658,0.0,1.4915905346712595,1.1468711352955727,True,True
② 调整深度 浅50%,2077,0.2195474241694752,1.214380825565912,0.0,1.1893719662012345,1.3237942122186495,True,True
② 波动收缩 <0.8×,775,0.24774193548387097,1.3703328894806923,0.0,1.4849740932642486,1.2677997243913643,True,True
③ 买点贴近20周线 <10%,3218,0.1985705407085146,1.0983515660494936,0.0,1.10415123641142,1.116206131678044,True,False
③ 市值 小50%,1989,0.1518350930115636,0.839844176258369,0.0,0.9020414551018987,0.734778549942952,True,False
③ 买点日量比 ≥1.5,1363,0.15407190022010273,0.8522166092067999,0.002,0.8361625968422084,0.8643912799787604,True,False
① 强势期涨停 ≥3次,898,0.13919821826280623,0.7699459369689708,0.002,0.9496902463621956,0.5118682033310452,True,False
① 双增长,1681,0.206424747174301,1.1417954723862136,0.002,1.0115431695772807,1.2709300940812194,True,False
① 市场广度 高50%,2108,0.19971537001897532,1.1046839508106838,0.006,0.873780487804878,1.0,False,False
① 强势期放量 >1.5×,1001,0.15284715284715283,0.8454421743369812,0.006,0.924648695153427,0.7109351043044763,True,False
① 盈利加速 >0,1188,0.2037037037037037,1.1267445874636286,0.026,1.1104672681008558,1.1126361760330181,True,False
② 调整时长 长50%,2104,0.17062737642585551,0.9437897758628546,0.106,0.9982757533728406,0.8633294799933944,True,False
③ BP 低50%(偏贵),1989,0.19054801407742583,1.0539766317944432,0.132,0.9298166712441637,1.1832797427652733,False,False
③ 买点 RPS250 ≥90,1786,0.1690929451287794,0.9353023889013976,0.148,0.8962763636363635,1.0044632144742525,False,False
② 触线到买点 短50%,2118,0.18838526912181303,1.0420138587643293,0.186,0.9878500646273158,1.1306690209730574,False,False
① 当季同比 >25%,1566,0.194125159642401,1.0737628670499784,0.194,0.9865432309929016,1.1773986307236965,False,False
③ 大盘在MA200之上,2686,0.16604616530156366,0.9184497612019913,0.288,0.8916481654592193,0.8539510001991862,True,False
② 未破20周线(占比<20%),2268,0.17768959435626103,0.9828529626576675,0.654,0.9586106346483704,1.0323155867930076,False,False
