特征,命中,P(赢|特征),lift,p,早,晚,同向,三条全过
③ BP 低50%(偏贵),1989,0.08597285067873303,1.395043834841629,0.0,1.240165533736153,1.4042105263157896,True,False
① 强势期涨停 ≥3次,898,0.0378619153674833,0.6143687360801782,0.002,0.8043119387216059,0.5125468164794008,True,False
③ 买点 RPS250 ≥90,1786,0.0761478163493841,1.235617301231803,0.004,1.0747499999999999,1.3666977611940299,True,False
① 市场广度 高50%,2108,0.08681214421252371,1.4086626838235294,0.07,0.8373729674796748,1.0,False,False
② 调整时长 长50%,2104,0.05608365019011407,0.9100448550380228,0.148,0.848835529357374,0.9363293051359517,True,False
② 调整期缩量 <0.8×,802,0.07356608478802992,1.1937246726932669,0.196,1.3279448105436573,1.3210256410256411,True,False
② 未破20周线(占比<20%),2268,0.06613756613756613,1.0731853505291005,0.366,1.0139150943396227,1.1398230088495576,True,False
① 强势期放量 >1.5×,1001,0.054945054945054944,0.8915693681318682,0.414,0.9417718191377497,0.7677111716621254,True,False
① 当季同比 >25%,1566,0.06896551724137931,1.119073275862069,0.432,0.6740357478833491,1.3443339960238567,False,False
① 双增长,1681,0.06900654372397383,1.119738994646044,0.44,0.45558423099940154,1.4055555555555554,False,False
① 强势期涨幅 高50%,2077,0.06355320173326914,1.03125,0.646,1.2169351303966687,1.0134892086330936,True,False
② 波动收缩 <0.8×,775,0.0567741935483871,0.9212500000000001,0.714,1.0827936096718478,0.9446428571428572,False,False
② 触线到买点 短50%,2118,0.062795089707271,1.0189484478281396,0.816,0.9095717670954638,1.1051482059282371,False,False
① 换手分位 高50%,2055,0.06520681265206812,1.0580824209245743,0.824,1.214623483226267,0.947782874617737,False,False
③ 买点贴近20周线 <10%,3218,0.058732131758856436,0.9530206067433189,0.828,0.9676777631771061,0.9901069518716578,True,False
③ 买点日量比 ≥1.5,1363,0.06016140865737344,0.9762128576669112,0.846,1.1271799712333692,0.8677752293577983,False,False
② 调整深度 浅50%,2077,0.05970149253731343,0.96875,0.85,0.964307295099978,1.078125,False,False
① 盈利加速 >0,1188,0.05976430976430976,0.9697693076599326,0.912,0.4557888040712468,1.1814676616915423,False,False
③ 市值 小50%,1989,0.058823529411764705,0.9545036764705882,0.926,1.2562962254526906,0.7318181818181818,False,False
③ 大盘在MA200之上,2686,0.06552494415487714,1.0632446016381236,1.0,0.6715268851756641,1.0044690265486726,False,False
