年,池大小,池等权,池随机10中位,全市场随机10中位,全市场等权
2015,290,0.2904099930462157,0.25456559549149393,0.5633470462086485,0.5660112644581854
2016,314,-0.1346714752159291,-0.13396517419195178,-0.03528988053826597,-0.014210716704504293
2017,365,-0.08092308493090303,-0.0935782199850312,-0.13560572563412499,-0.1276956642116564
2018,376,-0.3445031835948567,-0.3510158208953482,-0.3209445089498014,-0.31942118348623944
2019,521,0.3402313594206974,0.31519465632830024,0.25322588327123685,0.29126810653603835
2020,496,0.2941730703043237,0.2714782206625009,0.1441971859742398,0.1815962047894389
2021,504,0.1783879536621185,0.13955313375697279,0.22294003026692782,0.22698863020762014
2022,603,-0.1793758458088333,-0.18364053877110392,-0.15153526314602422,-0.12792125431706383
2023,664,-0.08857980905823797,-0.09693815940079129,0.026710309435537906,0.04220459355401007
2024,755,-0.0012043630744335472,-0.004824369492845873,-0.04787503070557424,-0.0275430307828479
2025,747,0.36716087069792575,0.3451186416773185,0.4021650522589313,0.4323745695328247
2026,650,-0.09049059292753199,-0.09628599411877004,-0.10619040577425742,-0.10032879894034619
