部分,信号,门槛,月数,信号命中,随机,lift,lift下界,lift上界,p
A,POST_UNLOCK 解禁后120日,≥100%,135,0.16499419663103684,0.16204468837885322,1.018201820014537,1.0040992025685522,1.0317991716114914,0.015
A,POST_UNLOCK 解禁后120日,≥200%,135,0.04684478601756497,0.04586740859860918,1.0213087560169123,0.9870093961446665,1.0576756422035687,0.165
A,POST_UNLOCK 解禁后120日,≥500%,135,0.0028047315984088303,0.0032765737214269296,0.85599526727187,0.7521935952990515,0.9886050761364714,0.955
A,"AGE_YOUNG 上市[1,3)年",≥100%,135,0.17510518176080556,0.16258932793306388,1.0769783231584198,1.051925399981117,1.1029271741584266,0.0
A,"AGE_YOUNG 上市[1,3)年",≥200%,135,0.052596095997907766,0.04591367404817856,1.1455431761509032,1.0822797866980014,1.2053023133456344,0.0
A,"AGE_YOUNG 上市[1,3)年",≥500%,135,0.005306481233207101,0.003323806315550576,1.5965073561538445,1.3519236660322096,1.9688719517223494,0.0
A,SMALL_MV 市值最小档(零锚点),≥100%,135,0.2119286395624676,0.20204533228505814,1.048916286091012,1.0424901531133342,1.0557299713229027,0.0
A,SMALL_MV 市值最小档(零锚点),≥200%,135,0.06500321804025315,0.06334827362063106,1.026124538602787,1.0126885603549973,1.0385130266591827,0.0
A,SMALL_MV 市值最小档(零锚点),≥500%,135,0.005650068636852638,0.0061957787352704885,0.911922274546167,0.877286922469759,0.9523345461707571,1.0
B,POST_UNLOCK 解禁后120日,≥100%,123,0.13907361849613117,0.14079542716638108,0.9877708480672799,0.9398538623518482,1.0394650443773792,0.63
B,POST_UNLOCK 解禁后120日,≥200%,123,0.04033819201357117,0.041117953045092206,0.9810359958661874,0.8719166920573074,1.1020724952575018,0.595
B,POST_UNLOCK 解禁后120日,≥500%,123,0.002936195162757339,0.004069819077275669,0.7214559436196912,0.4800886887232193,1.3326179012488013,0.815
