年,n,ge100,对照A,lift
2013,144,0.041666666666666664,0.022900763358778626,1.8194444444444444
2014,897,0.1282051282051282,0.10744810744810745,1.193181818181818
2015,689,0.4397677793904209,0.4200626959247649,1.046909862877196
2016,304,0.019736842105263157,0.01048951048951049,1.8815789473684208
2017,397,0.020151133501259445,0.007874015748031496,2.55919395465995
2018,186,0.016129032258064516,0.005681818181818182,2.8387096774193545
2019,452,0.06637168141592921,0.03619909502262444,1.8335176991150441
2020,916,0.08078602620087336,0.05803571428571429,1.3920053745381256
2021,844,0.08767772511848342,0.05816831683168317,1.507310678632651
2022,562,0.051601423487544484,0.026022304832713755,1.9829689883070665
2023,831,0.03489771359807461,0.0170316301703163,2.0489943269726663
2024,1167,0.0676949443016281,0.058899398108340495,1.1493316820845765
2025,1904,0.10399159663865547,0.08201892744479496,1.2678975436328377
2026,305,0.09180327868852459,0.08524590163934426,1.0769230769230769
